City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
1,Kahului,US,74.84,scattered clouds,20.8947,-156.47,Maui Seaside Hotel
5,Hilo,US,75.27,light rain,19.7297,-155.09,Hilo Hawaiian Hotel
6,San Cristobal,VE,71.78,overcast clouds,7.7669,-72.225,Posada Villaven C.A.
9,Thaton,MM,73.24,clear sky,16.9206,97.3714,တိုင်းရင်းဆေး ခရိုင်ဦးစီးဌာနမှူးရုံး
12,Cape Town,ZA,81.12,clear sky,-33.9258,18.4232,Southern Sun Waterfront Cape Town
14,Itarema,BR,89.69,few clouds,-2.9248,-39.9167,"Sea Lounge! Bar, Club & Restaurant"
17,Atuona,PF,77.58,light rain,-9.8,-139.0333,Villa Enata
22,Cabo San Lucas,MX,76.51,overcast clouds,22.8909,-109.9124,Hotel Tesoro Los Cabos
24,Vaini,TO,75.36,broken clouds,-21.2,-175.2,Keleti Beach Resort
28,Butaritari,KI,82.11,light rain,3.0707,172.7902,Isles Sunset Lodge
29,Aracaju,BR,85.95,few clouds,-10.9111,-37.0717,HOTEL FÊNIX
30,Inhambane,MZ,80.19,broken clouds,-23.865,35.3833,Oceano
31,Bredasdorp,ZA,71.28,broken clouds,-34.5322,20.0403,Bredasdorp Country Manor
33,Touros,BR,88.7,scattered clouds,-5.1989,-35.4608,INN NEW HORIZON
34,Ancud,CL,76.23,clear sky,-41.8697,-73.8203,Hotel Arena Gruesa
39,Saint-Philippe,RE,78.39,few clouds,-21.3585,55.7679,"Chambres d'hôte ""La Trinité"""
42,Moerai,PF,77.86,overcast clouds,-22.4333,-151.3333,Le Manotel
43,Hermanus,ZA,80.91,broken clouds,-34.4187,19.2345,Misty Waves Boutique Hotel
45,San Fernando,PH,78.82,overcast clouds,15.0286,120.6898,Maharlika Hostel
49,Arraial Do Cabo,BR,71.46,light rain,-22.9661,-42.0278,Pousada Porto Praia
50,Puerto Ayora,EC,75.16,overcast clouds,-0.7393,-90.3518,Finch Bay Galapagos Hotel
53,Dhidhdhoo,MV,81.73,few clouds,6.8833,73.1,Dhidhoo beach
55,East London,ZA,70.74,light intensity drizzle,-33.0153,27.9116,Tu Casa
56,Rikitea,PF,75.16,few clouds,-23.1203,-134.9692,People ThankYou
57,Caala,AO,71.13,heavy intensity rain,-12.8525,15.5606,Adymuzik Oficial
58,Villa Sandino,NI,81.77,overcast clouds,12.0483,-84.9936,Salón Rossmary
61,Maragogi,BR,85.51,broken clouds,-9.0122,-35.2225,Salinas do Maragogi All Inclusive Resort
66,Hithadhoo,MV,81.82,overcast clouds,-0.6,73.0833,Scoop Guest House
67,Panaba,MX,84.45,overcast clouds,21.2833,-88.2667,Hotel California
74,Mar Del Plata,AR,80.62,clear sky,-38.0023,-57.5575,Gran Hotel Mar del Plata
76,Cap Malheureux,MU,81.09,few clouds,-19.9842,57.6142,Pereybere Hotel & Spa
