City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Punta Arenas,CL,-53.15,-70.9167,55.51,50,0,12.66,clear sky
1,Kahului,US,20.8947,-156.47,74.84,90,40,4.61,scattered clouds
2,Klaksvik,FO,62.2266,-6.589,41.92,74,100,28.88,overcast clouds
3,Vuktyl,RU,63.8567,57.3094,2.37,90,79,3.47,broken clouds
4,Albany,US,42.6001,-73.9662,32.95,84,100,1.99,light snow
5,Hilo,US,19.7297,-155.09,75.27,46,90,4.61,light rain
6,San Cristobal,VE,7.7669,-72.225,71.78,44,85,5.64,overcast clouds
7,Vila Franca Do Campo,PT,37.7167,-25.4333,65.19,63,97,4.56,overcast clouds
8,Ust-Tsilma,RU,65.441,52.1498,6.3,92,94,4.72,overcast clouds
9,Thaton,MM,16.9206,97.3714,73.24,73,1,2.91,clear sky
10,Lagoa,PT,39.05,-27.9833,60.3,54,99,1.39,overcast clouds
11,Ribeira Grande,PT,38.5167,-28.7,63.0,59,75,5.75,broken clouds
12,Cape Town,ZA,-33.9258,18.4232,81.12,53,0,4.0,clear sky
13,Skibbereen,IE,51.55,-9.2667,40.8,57,13,21.72,few clouds
14,Itarema,BR,-2.9248,-39.9167,89.69,53,11,17.65,few clouds
15,Ushuaia,AR,-54.8,-68.3,53.22,46,75,18.41,broken clouds
16,Bluff,NZ,-46.6,168.3333,52.81,88,100,4.25,overcast clouds
17,Atuona,PF,-9.8,-139.0333,77.58,77,89,16.08,light rain
18,Barrow,US,71.2906,-156.7887,8.62,78,90,28.77,light snow
19,Port Elizabeth,ZA,-33.918,25.5701,69.1,83,90,10.36,light rain
20,Longyearbyen,SJ,78.2186,15.6401,26.44,80,75,1.14,broken clouds
21,Tessalit,ML,20.1986,1.0114,84.78,8,49,1.52,scattered clouds
22,Cabo San Lucas,MX,22.8909,-109.9124,76.51,68,95,3.0,overcast clouds
23,Bilibino,RU,68.0546,166.4372,-33.54,99,100,2.19,overcast clouds
24,Vaini,TO,-21.2,-175.2,75.36,88,75,6.91,broken clouds
25,Ano Mera,GR,37.45,25.4,57.94,54,20,2.3,few clouds
26,Katsuura,JP,35.1333,140.3,53.19,77,100,25.57,overcast clouds
27,Nome,US,64.5011,-165.4064,12.27,73,90,10.36,overcast clouds
28,Butaritari,KI,3.0707,172.7902,82.11,78,98,11.65,light rain
29,Aracaju,BR,-10.9111,-37.0717,85.95,70,20,14.97,few clouds
30,Inhambane,MZ,-23.865,35.3833,80.19,65,74,10.2,broken clouds
31,Bredasdorp,ZA,-34.5322,20.0403,71.28,68,81,16.11,broken clouds
32,Asau,RO,46.4333,26.4,30.96,82,100,1.48,overcast clouds
33,Touros,BR,-5.1989,-35.4608,88.7,59,42,14.85,scattered clouds
34,Ancud,CL,-41.8697,-73.8203,76.23,64,1,6.67,clear sky
35,Skegness,GB,53.1436,0.3363,45.37,85,100,24.85,overcast clouds
36,Thompson,CA,55.7435,-97.8558,-36.24,74,75,0.0,broken clouds
37,Araouane,ML,18.9048,-3.5265,83.62,9,51,8.97,broken clouds
38,Dikson,RU,73.5069,80.5464,0.79,94,100,22.35,overcast clouds
39,Saint-Philippe,RE,-21.3585,55.7679,78.39,72,23,10.09,few clouds
40,Husavik,IS,66.0449,-17.3389,17.51,69,14,16.35,few clouds
41,Almaznyy,RU,48.0448,40.045,42.94,90,98,8.5,overcast clouds
42,Moerai,PF,-22.4333,-151.3333,77.86,81,100,15.17,overcast clouds
43,Hermanus,ZA,-34.4187,19.2345,80.91,67,55,19.77,broken clouds
44,Smolenka,RU,52.1352,113.4974,6.87,85,85,2.24,overcast clouds
45,San Fernando,PH,15.0286,120.6898,78.82,75,90,7.27,overcast clouds
46,Jamestown,US,42.097,-79.2353,29.52,87,90,3.0,light snow
47,Fallon,US,39.4735,-118.7774,30.07,93,75,4.61,broken clouds
48,Hobart,AU,-42.8794,147.3294,50.05,79,87,3.44,overcast clouds
49,Arraial Do Cabo,BR,-22.9661,-42.0278,71.46,88,75,12.66,light rain
50,Puerto Ayora,EC,-0.7393,-90.3518,75.16,77,93,9.8,overcast clouds
51,Tateyama,JP,34.9833,139.8667,53.1,68,100,28.74,overcast clouds
52,Gao,ML,16.6362,1.637,86.63,8,24,8.99,few clouds
53,Dhidhdhoo,MV,6.8833,73.1,81.73,75,22,7.85,few clouds
54,Tuatapere,NZ,-46.1333,167.6833,52.83,92,100,4.56,light rain
55,East London,ZA,-33.0153,27.9116,70.74,94,90,9.22,light intensity drizzle
56,Rikitea,PF,-23.1203,-134.9692,75.16,66,16,16.55,few clouds
57,Caala,AO,-12.8525,15.5606,71.13,95,99,4.25,heavy intensity rain
58,Villa Sandino,NI,12.0483,-84.9936,81.77,77,97,15.77,overcast clouds
59,Stromness,GB,58.965,-3.296,44.85,76,97,26.06,overcast clouds
60,Lebu,CL,-37.6167,-73.65,62.31,76,22,19.46,few clouds
61,Maragogi,BR,-9.0122,-35.2225,85.51,62,57,13.27,broken clouds
62,Bethel,US,41.3712,-73.414,38.98,66,75,5.75,broken clouds
63,Berlevag,NO,70.8578,29.0864,15.75,57,0,19.57,clear sky
64,Rudnogorsk,RU,57.2639,103.7519,4.96,87,100,11.21,overcast clouds
65,Ulladulla,AU,-35.35,150.4667,59.77,92,100,3.78,moderate rain
66,Hithadhoo,MV,-0.6,73.0833,81.82,75,100,10.8,overcast clouds
67,Panaba,MX,21.2833,-88.2667,84.45,59,95,8.41,overcast clouds
68,Port Macquarie,AU,-31.4333,152.9167,64.89,95,99,2.82,light rain
69,Colorado Springs,US,38.8339,-104.8214,47.21,28,75,1.01,broken clouds
70,Rindal,NO,63.0565,9.2124,16.57,78,100,7.92,overcast clouds
71,Belyy Yar,RU,53.6039,91.3903,8.85,75,0,0.0,clear sky
72,Verkhnyaya Toyma,RU,62.2349,44.9985,15.48,96,100,4.83,light snow
73,Pacific Grove,US,36.6177,-121.9166,55.42,91,1,1.01,mist
74,Mar Del Plata,AR,-38.0023,-57.5575,80.62,90,0,21.0,clear sky
75,Torbay,CA,47.6666,-52.7314,35.58,64,75,13.8,broken clouds
76,Cap Malheureux,MU,-19.9842,57.6142,81.09,72,11,5.01,few clouds
77,Bathsheba,BB,13.2167,-59.5167,84.81,70,40,21.85,scattered clouds
78,Lasa,IT,46.6166,10.7002,31.46,96,100,3.27,light snow
79,Kalugumalai,IN,9.15,77.7167,79.54,74,61,6.76,broken clouds
80,Vanavara,RU,60.34,102.2797,0.34,92,100,10.47,overcast clouds
81,San Patricio,US,28.017,-97.5169,67.87,62,16,1.41,few clouds
82,Moron,AR,-34.6534,-58.6198,80.92,46,56,5.99,broken clouds
83,Hobyo,SO,5.3505,48.5268,79.09,77,99,20.54,overcast clouds
84,Port Hedland,AU,-20.3167,118.5667,84.25,65,5,4.61,clear sky
85,Botucatu,BR,-22.8858,-48.445,72.25,49,62,9.15,broken clouds
86,Iqaluit,CA,63.7506,-68.5145,6.53,72,90,13.8,light shower snow
87,Bubaque,GW,11.2833,-15.8333,82.2,48,73,7.11,broken clouds
88,Mataura,NZ,-46.1927,168.8643,52.48,97,98,0.47,overcast clouds
89,Kushiro,JP,42.975,144.3747,33.8,73,100,7.07,overcast clouds
90,Busselton,AU,-33.65,115.3333,73.98,58,1,9.35,clear sky
91,Nikolskoye,RU,59.7035,30.7861,6.69,99,100,2.24,overcast clouds
92,Bambous Virieux,MU,-20.3428,57.7575,80.85,69,40,6.91,scattered clouds
93,Yellowknife,CA,62.456,-114.3525,3.72,92,90,10.36,light snow
94,Qaanaaq,GL,77.484,-69.3632,9.34,62,100,11.34,overcast clouds
95,Carnarvon,AU,-24.8667,113.6333,71.67,88,40,12.66,scattered clouds
96,Yaan,NG,7.3833,8.5667,96.37,13,48,6.8,scattered clouds
97,Buraydah,SA,26.326,43.975,73.85,19,100,6.02,overcast clouds
98,Ostrovnoy,RU,68.0531,39.5131,13.39,79,62,3.67,broken clouds
99,Atar,MR,20.5169,-13.0499,83.71,7,97,15.17,overcast clouds
100,Kapaa,US,22.0752,-159.319,75.52,75,75,6.91,light rain
101,Tuktoyaktuk,CA,69.4541,-133.0374,8.6,92,90,12.66,overcast clouds
102,Wajima,JP,37.4,136.9,52.97,66,82,15.43,broken clouds
